schedule_date,schedule_season,schedule_week,team_home,team_away,stadium,team_favorite_id,spread_favorite,over_under_line,weather_detail,weather_temperature,weather_wind_mph,weather_humidity,score_home,score_away,stadium_neutral,schedule_playoff,game_id,,,,,
11/06/1966,1966,10,MIA,BUF,Orange Bowl,,,,,,,,0,29,FALSE,FALSE,19661106BUFMIA,,,,,
11/06/1966,1966,10,NE,DEN,Alumni Stadium,,,,,,,,10,17,FALSE,FALSE,19661106DENNE,,,,,
11/06/1966,1966,9,NYG,ARI,Yankee Stadium,,,,48 degrees-  humidity 66%- wind 14 mph,48,14,66,17,20,FALSE,FALSE,19661106ARINYG,,,,,
11/06/1966,1966,10,OAK,TEN,Oakland Coliseum,,,,,,,,38,23,FALSE,FALSE,19661106TENOAK,,,,,
11/06/1966,1966,9,PHI,DAL,Franklin Field,,,,46 degrees-  humidity 62%- wind 14 mph,46,14,62,24,23,FALSE,FALSE,19661106DALPHI,,,,,
11/06/1966,1966,9,PIT,CLE,Pitt Stadium,,,,35 degrees-  humidity 83%- wind 11 mph- wind chill 27,35,11,83,16,6,FALSE,FALSE,19661106CLEPIT,,,,,
11/06/1966,1966,9,SF,LAR,Kezar Stadium,,,,54 degrees-  humidity 79%- wind 15 mph,54,15,79,21,13,FALSE,FALSE,19661106LARSF,,,,,
11/13/1966,1966,10,ATL,IND,Atlanta-Fulton County Stadium,,,,58 degrees-  humidity 80%- wind 12 mph,58,12,80,7,19,FALSE,FALSE,19661113INDATL,,,,,
11/13/1966,1966,11,BUF,NYJ,War Memorial Stadium,,,,,,,,14,3,FALSE,FALSE,19661113NYJBUF,,,,,
11/13/1966,1966,10,CHI,SF,Wrigley Field,,,,34 degrees-  humidity 70%- wind 7 mph- wind chill 28,34,7,70,30,30,FALSE,FALSE,19661113SFCHI,,,,,
11/13/1966,1966,10,CLE,PHI,Cleveland Municipal Stadium,,,,38 degrees-  humidity 78%- wind 8 mph,38,8,78,27,7,FALSE,FALSE,19661113PHICLE,,,,,
11/13/1966,1966,11,KC,MIA,Kansas City Municipal Stadium,,,,,,,,34,16,FALSE,FALSE,19661113MIAKC,,,,,
11/13/1966,1966,10,LAR,NYG,Los Angeles Memorial Coliseum,,,,62 degrees-  humidity 77%- wind 9 mph,62,9,77,55,14,FALSE,FALSE,19661113NYGLAR,,,,,
11/13/1966,1966,10,MIN,DET,Metropolitan Stadium,,,,30 degrees-  humidity 74%- wind 13 mph- wind chill 20,30,13,74,31,32,FALSE,FALSE,19661113DETMIN,,,,,
11/13/1966,1966,11,NE,TEN,Alumni Stadium,,,,,,,,27,21,FALSE,FALSE,19661113TENNE,,,,,
11/13/1966,1966,10,PIT,ARI,Pitt Stadium,,,,39 degrees-  humidity 64%- wind 9 mph,39,9,64,30,9,FALSE,FALSE,19661113ARIPIT,,,,,
11/13/1966,1966,11,LAC,OAK,Balboa Stadium,,,,,,,,19,41,FALSE,FALSE,19661113OAKLAC,,,,,
11/13/1966,1966,10,WAS,DAL,RFK Memorial Stadium,,,,40 degrees-  humidity 71%- wind 8 mph,40,8,71,30,31,FALSE,FALSE,19661113DALWAS,,,,,
11/20/1966,1966,11,CLE,WAS,Cleveland Municipal Stadium,,,,32 degrees-  humidity 69%- wind 8 mph- wind chill 25,32,8,69,14,3,FALSE,FALSE,19661120WASCLE,,,,,
11/20/1966,1966,12,DEN,OAK,Mile High Stadium,,,,,,,,3,17,FALSE,FALSE,19661120OAKDEN,,,,,
11/20/1966,1966,11,DET,IND,Tiger Stadium,,,,32 degrees-  humidity 77%- wind 7 mph- wind chill 26,32,7,77,20,14,FALSE,FALSE,19661120INDDET,,,,,
11/20/1966,1966,11,GB,CHI,Lambeau Field,,,,32 degrees-  humidity 76%- wind 8 mph- wind chill 25,32,8,76,13,6,FALSE,FALSE,19661120CHIGB,,,,,
11/20/1966,1966,12,TEN,BUF,Rice Stadium,,,,,,,,20,42,FALSE,FALSE,19661120BUFTEN,,,,,
11/20/1966,1966,12,KC,NE,Kansas City Municipal Stadium,,,,,,,,27,27,FALSE,FALSE,19661120NEKC,,,,,
11/20/1966,1966,11,LAR,MIN,Los Angeles Memorial Coliseum,,,,63 degrees-  humidity 79%- wind 8 mph,63,8,79,21,6,FALSE,FALSE,19661120MINLAR,,,,,
11/20/1966,1966,11,NYG,ATL,Yankee Stadium,,,,36 degrees-  humidity 44%- wind 16 mph- wind chill 27,36,16,44,16,27,FALSE,FALSE,19661120ATLNYG,,,,,
11/20/1966,1966,12,NYJ,MIA,Shea Stadium,,,,,,,,30,13,FALSE,FALSE,19661120MIANYJ,,,,,
11/20/1966,1966,11,PIT,DAL,Pitt Stadium,,,,30 degrees-  humidity 60%- wind 8 mph- wind chill 22,30,8,60,7,20,FALSE,FALSE,19661120DALPIT,,,,,
11/20/1966,1966,11,SF,PHI,Kezar Stadium,,,,58 degrees-  humidity 79%- wind 20 mph,58,20,79,34,35,FALSE,FALSE,19661120PHISF,,,,,
11/24/1966,1966,12,DAL,CLE,Cotton Bowl,,,,71 degrees-  humidity 68%- wind 15 mph,71,15,68,26,14,FALSE,FALSE,19661124CLEDAL,,,,,
11/24/1966,1966,12,DET,SF,Tiger Stadium,,,,55 degrees-  humidity 80%- wind 11 mph,55,11,80,14,41,FALSE,FALSE,19661124SFDET,,,,,
11/24/1966,1966,13,OAK,BUF,Oakland Coliseum,,,,,,,,10,31,FALSE,FALSE,19661124BUFOAK,,,,,
11/27/1966,1966,12,IND,LAR,Memorial Stadium (Baltimore),,,,44 degrees-  humidity 70%- wind 8 mph,44,8,70,7,23,FALSE,FALSE,19661127LARIND,,,,,
11/27/1966,1966,12,CHI,ATL,Wrigley Field,,,,49 degrees-  humidity 90%- wind 11 mph,49,11,90,23,6,FALSE,FALSE,19661127ATLCHI,,,,,
11/27/1966,1966,13,DEN,LAC,Mile High Stadium,,,,,,,,20,17,FALSE,FALSE,19661127LACDEN,,,,,
11/27/1966,1966,13,MIA,NE,Orange Bowl,,,,,,,,14,20,FALSE,FALSE,19661127NEMIA,,,,,
11/27/1966,1966,12,MIN,GB,Metropolitan Stadium,,,,33 degrees-  humidity 78%- wind 19 mph- wind chill 22,33,19,78,16,28,FALSE,FALSE,19661127GBMIN,,,,,
11/27/1966,1966,13,NYJ,KC,Shea Stadium,,,,,,,,24,32,FALSE,FALSE,19661127KCNYJ,,,,,
11/27/1966,1966,12,ARI,PIT,Busch Memorial Stadium,,,,50 degrees-  humidity 94%- wind 19 mph,50,19,94,6,3,FALSE,FALSE,19661127PITARI,,,,,
11/27/1966,1966,12,WAS,NYG,RFK Memorial Stadium,,,,42 degrees-  humidity 83%- wind 5 mph,42,5,83,72,41,FALSE,FALSE,19661127NYGWAS,,,,,
12/03/1966,1966,14,OAK,NYJ,Oakland Coliseum,,,,,,,,28,28,FALSE,FALSE,19661203NYJOAK,,,,,
12/04/1966,1966,13,IND,CHI,Memorial Stadium (Baltimore),,,,21 degrees-  humidity 40%- wind 10 mph- wind chill 10,21,10,40,21,16,FALSE,FALSE,19661204CHIIND,,,,,
12/04/1966,1966,13,CLE,NYG,Cleveland Municipal Stadium,,,,18 degrees-  humidity 78%- wind 8 mph- wind chill 7,18,8,78,49,40,FALSE,FALSE,19661204NYGCLE,,,,,
12/04/1966,1966,13,DAL,ARI,Cotton Bowl,,,,43 degrees-  humidity 90%- wind 9 mph,43,9,90,31,17,FALSE,FALSE,19661204ARIDAL,,,,,
12/04/1966,1966,14,DEN,MIA,Mile High Stadium,,,,,,,,17,7,FALSE,FALSE,19661204MIADEN,,,,,
12/04/1966,1966,13,GB,SF,Lambeau Field,,,,20 degrees-  humidity 72%- wind 12 mph- wind chill 8,20,12,72,20,7,FALSE,FALSE,19661204SFGB,,,,,
12/04/1966,1966,14,TEN,LAC,Rice Stadium,,,,,,,,22,28,FALSE,FALSE,19661204LACTEN,,,,,
12/04/1966,1966,13,LAR,DET,Los Angeles Memorial Coliseum,,,,57 degrees-  humidity 86%- wind 8 mph,57,8,86,23,3,FALSE,FALSE,19661204DETLAR,,,,,
12/04/1966,1966,13,MIN,ATL,Metropolitan Stadium,,,,20 degrees-  humidity 75%- wind 14 mph- wind chill 6,20,14,75,13,20,FALSE,FALSE,19661204ATLMIN,,,,,
12/04/1966,1966,14,NE,BUF,Alumni Stadium,,,,,,,,14,3,FALSE,FALSE,19661204BUFNE,,,,,
12/04/1966,1966,13,PHI,PIT,Franklin Field,,,,20 degrees-  humidity 39%- wind 12 mph- wind chill 7,20,12,39,27,23,FALSE,FALSE,19661204PITPHI,,,,,
12/10/1966,1966,14,IND,GB,Memorial Stadium (Baltimore),,,,58 degrees-  humidity 82%- wind 11 mph,58,11,82,10,14,FALSE,FALSE,19661210GBIND,,,,,
12/11/1966,1966,14,ATL,ARI,Atlanta-Fulton County Stadium,,,,41 degrees-  humidity 79%- wind 14 mph,41,14,79,16,10,FALSE,FALSE,19661211ARIATL,,,,,
12/11/1966,1966,14,DAL,WAS,Cotton Bowl,,,,30 degrees-  humidity 57%- wind 8 mph- wind chill 23,30,8,57,31,34,FALSE,FALSE,19661211WASDAL,,,,,
12/11/1966,1966,14,DET,MIN,Tiger Stadium,,,,28 degrees-  humidity 76%- wind 13 mph- wind chill 18,28,13,76,16,28,FALSE,FALSE,19661211MINDET,,,,,
12/11/1966,1966,15,TEN,NE,Rice Stadium,,,,,,,,14,38,FALSE,FALSE,19661211NETEN,,,,,
